client_id,call_id,agent_id,start_time,car_vin,car_make,car_model,car_model_year
3db1f75d-cbc3-4cd1-9cb2-b33416b0408c,0e3b2bb4-d1e7-4ddd-b19d-83ac7b985f57,c4c5b432-491d-479e-8b35-b07415a18142,1502809242,1G6AR5SX3F0371019,GMC,3500 Club Coupe,1995
cc706d5d-0e17-4b07-9a50-ff2f8cd7f201,ba3ed479-be6f-4fff-a9c4-01061a9405e8,2a8f9fc9-7086-426f-9020-5d885c84a7d0,1513757380,WA1DGAFE3FD049985,Porsche,924 S,1987
acf3c213-3486-48c6-8615-c1270f07790a,e3d71312-3bc0-4ade-8462-1ddce92062ca,b0c019ab-5240-45be-b9d8-44a321154168,1535701498,JHMFA3F22BS886877,Volvo,S80,2010
824e7021-4c06-4c68-8877-4e3f6131a80f,c295264e-3212-4c88-ac76-0f6948b4cb36,7c3813e4-c583-4629-bdff-f3097c3b754e,1568932794,1G6DK8EV8A0980953,Mazda,Protege,2002
f92b19d7-c3a6-4465-b0b6-4b652801a2ba,706bf49b-2a44-4740-b872-ea7bf9aece82,b0c019ab-5240-45be-b9d8-44a321154168,1577974428,1FTMF1E81AF861980,Mercury,Cougar,1995
c72ed947-68c6-49de-a6a2-272e8f7c60f1,6eb2ab5e-b900-44bf-b186-4bd0857e957f,0debc2c2-37d1-415d-833c-bc2cdd461371,1540260383,WBA6A0C54DD935628,Bentley,Azure,2007
f92b19d7-c3a6-4465-b0b6-4b652801a2ba,e1e3a7a4-5614-49a9-bb78-53ca3adf49b0,7c3813e4-c583-4629-bdff-f3097c3b754e,1552829662,JN8AZ1FY4CW539594,Audi,A6,2011
a6127bd4-f105-40cf-bd0f-44a6544f07f1,29e7b3e7-dcac-4b0f-9df0-bdc28882cb0d,68a5aa7b-0ec0-4f05-9583-9dfaa6ca9dd9,1519683715,1C3CDZCB2DN837137,Chevrolet,Cavalier,1999
3db1f75d-cbc3-4cd1-9cb2-b33416b0408c,d897a15e-3e6d-4470-8961-a2818243dc39,68a5aa7b-0ec0-4f05-9583-9dfaa6ca9dd9,1502626132,JN8AF5MR1ET207760,Mercedes-Benz,W201,1993
65d31223-6f79-42f1-b28a-c3f4d98f880a,760a2543-605b-45f1-8366-d3c4b6a1cfd8,c4c5b432-491d-479e-8b35-b07415a18142,1570449089,WAULD54B72N508902,Ford,E-Series,1996
58a6cde6-65b9-45c2-8c79-b12f4e064c41,4be0e5cf-56c2-40c4-8a87-30d886a3bd59,b0c019ab-5240-45be-b9d8-44a321154168,1519734122,1G6DF8EG9A0968607,Nissan,Pathfinder,2008
51613957-4785-4181-a92f-d2ee9458a4c8,8b8bcfb5-f5c6-47e5-a19e-4baa0a67f502,c4c5b432-491d-479e-8b35-b07415a18142,1543462299,WAUAH78E97A378700,Porsche,911,2010
824e7021-4c06-4c68-8877-4e3f6131a80f,4f705bbb-76c4-4338-a964-70d5b34b7f05,2a8f9fc9-7086-426f-9020-5d885c84a7d0,1505527104,WP0CA2A84BU697789,Mitsubishi,Diamante,2004
315898b5-ec64-4905-a3ee-d5e0e796fa4a,237e88f5-e71f-4fdf-9783-891868f55f41,7c3813e4-c583-4629-bdff-f3097c3b754e,1552518523,WAUAC48H46K469258,Ford,Crown Victoria,2005
68832e3a-5160-41f9-9c82-f0c5ebdd1a74,c3d3146e-2620-4fa8-9764-f4cc1034b9b2,7c3813e4-c583-4629-bdff-f3097c3b754e,1589371438,2C3CCABG0DH694814,Oldsmobile,Toronado,1992
a70f5f41-8d46-4b38-a0df-41e27f29ca54,bcc4bf7b-41e9-4e3a-b618-7e72f727fb3b,68a5aa7b-0ec0-4f05-9583-9dfaa6ca9dd9,1581995059,1G6DS8ED5B0450755,Jeep,Wrangler,2000
acf3c213-3486-48c6-8615-c1270f07790a,7e041b10-f68f-4ff0-bd3e-67abe8f8e0c2,c4c5b432-491d-479e-8b35-b07415a18142,1519549760,WAUSH78E86A224949,Volkswagen,Golf,1976
29aa9ef9-85fb-4fb4-a74a-205732f8ded0,1a87a111-4925-4e41-98f5-14e465fc9560,0debc2c2-37d1-415d-833c-bc2cdd461371,1582138096,3VW4A7AT8DM819533,Volvo,V50,2010
f92b19d7-c3a6-4465-b0b6-4b652801a2ba,e4ca9a9a-0e7f-4aec-adea-5d9cdc65f354,7c3813e4-c583-4629-bdff-f3097c3b754e,1533764380,1FMEU7EE7AU602839,Volkswagen,Golf,1995
282813e2-9e4e-43d5-8bd5-3653581b3244,7a6db411-622f-46ab-8ce2-4aa7dd3af564,68a5aa7b-0ec0-4f05-9583-9dfaa6ca9dd9,1568801432,3C4PDCBB1FT394185,BMW,M5,2010
acf3c213-3486-48c6-8615-c1270f07790a,56846ccf-2cd1-4e8d-a6c3-0b8605972818,c4c5b432-491d-479e-8b35-b07415a18142,1560846382,4T1BK1EB0FU995508,Porsche,Boxster,2007
65d31223-6f79-42f1-b28a-c3f4d98f880a,9fea830b-adf9-4691-aa17-c54fa870e279,c4c5b432-491d-479e-8b35-b07415a18142,1527727778,WBAPK7C5XBA038435,Rambler,Classic,1963
a6127bd4-f105-40cf-bd0f-44a6544f07f1,557eeb6a-d45d-4d94-9066-2c06f6706e25,68a5aa7b-0ec0-4f05-9583-9dfaa6ca9dd9,1521719505,1G6KD57Y99U005082,Isuzu,Amigo,1998
57ba47c6-7a5b-4d74-bb68-0468f40d2ca0,bcfe87fb-73ae-4f9d-81c1-208cffc2f657,c4c5b432-491d-479e-8b35-b07415a18142,1512118970,1G4GE5GD5BF938593,Volkswagen,Jetta,1985
2d2ac14b-5fde-4dc8-a397-05c5a2d213d7,c45b3677-5112-4ac8-9e5d-d6d8bd5f79e6,c4c5b432-491d-479e-8b35-b07415a18142,1544998154,2C3CCARG9EH311265,Volkswagen,Passat,2009
65d31223-6f79-42f1-b28a-c3f4d98f880a,b0b9a415-9e09-40a2-91e4-04bce0a83ded,2a8f9fc9-7086-426f-9020-5d885c84a7d0,1566688645,5XYKT3A13DG936011,Toyota,RAV4,2000
a70f5f41-8d46-4b38-a0df-41e27f29ca54,60615434-cbf7-4272-b9f8-57065ba193e0,b0c019ab-5240-45be-b9d8-44a321154168,1579200435,1GKKRNED5CJ112125,BMW,7 Series,2002
b8a45546-b3f7-45fe-8a23-435488180bda,5390fd66-b326-43d7-b0f0-0a1d5710dcdf,7c3813e4-c583-4629-bdff-f3097c3b754e,1504024146,WBAKF3C55BE083041,Audi,S4,2005
824e7021-4c06-4c68-8877-4e3f6131a80f,d0e2f2ab-cac8-46c7-b87f-5d984d0bffc4,c4c5b432-491d-479e-8b35-b07415a18142,1555989081,1GD12XEG1FF384532,Subaru,Outback,2004
5e025596-f025-4a97-ad39-26d277d03636,2a5f1bd9-cca1-435a-a03f-078cb9ddaaf0,c4c5b432-491d-479e-8b35-b07415a18142,1503771771,1FTNF1E80AK931402,Chevrolet,1500,1994
9b86cbfa-099c-4946-9d01-c3ad68858045,58bc5d58-563c-4890-ae78-4fa38d4749b6,b0c019ab-5240-45be-b9d8-44a321154168,1580950105,JTHBE5C23B5207796,Dodge,Ram Van 1500,1996
0c6cbb13-7dbd-49f2-b540-b8e09f5a181f,c7b0ee05-35b3-46a1-86eb-9d1cafedaf50,7c3813e4-c583-4629-bdff-f3097c3b754e,1517773019,3VWML7AJ3DM112901,Land Rover,Discovery,1995
51613957-4785-4181-a92f-d2ee9458a4c8,f1fc7c07-5872-42c4-8f7c-add233e07799,2a8f9fc9-7086-426f-9020-5d885c84a7d0,1511760623,SCBBP9ZA8AC066416,Toyota,Xtra,1992
9b86cbfa-099c-4946-9d01-c3ad68858045,274981d1-764b-4587-9ed3-193b4ef55a1a,b0c019ab-5240-45be-b9d8-44a321154168,1560951151,4USFE43597L596626,Toyota,4Runner,2009
96f24433-87a7-4a7d-98bd-9035d266231b,57149b54-dae1-461c-a360-1db8120ed2db,68a5aa7b-0ec0-4f05-9583-9dfaa6ca9dd9,1548603496,5UXWX7C55E0280199,Mercedes-Benz,300CE,1992
c72ed947-68c6-49de-a6a2-272e8f7c60f1,df4b6edd-bee0-4c97-b622-fc79bda47eee,c4c5b432-491d-479e-8b35-b07415a18142,1581313059,1C4RDHDG8FC126857,Ford,Galaxie,1964
41b9c791-06eb-4166-9bd3-d42102af72b2,bbe42a8a-34c0-43ac-ace5-e65543eebcdb,0debc2c2-37d1-415d-833c-bc2cdd461371,1590244012,KMHHT6KJ5FU904796,GMC,1500 Club Coupe,1993
282813e2-9e4e-43d5-8bd5-3653581b3244,d7c869d1-30b8-4ed2-9dab-75e604999680,b0c019ab-5240-45be-b9d8-44a321154168,1506980532,3D73M3CL8BG436270,Ford,Mustang,1964
9a2446ac-a391-428c-9b58-f312f28f8cfc,ff945f3b-41cc-4b6a-bd5d-998778f4768c,7c3813e4-c583-4629-bdff-f3097c3b754e,1589326144,KNAGM4AD9E5271450,Chevrolet,S10,2003
315898b5-ec64-4905-a3ee-d5e0e796fa4a,f760fc1a-b472-42f0-be19-f6fe581ffc04,0debc2c2-37d1-415d-833c-bc2cdd461371,1569570112,WBAEV33435K023174,Mercedes-Benz,E-Class,2012
cc706d5d-0e17-4b07-9a50-ff2f8cd7f201,1d0cebe6-85e7-4c1d-a9e7-3672b430e1fa,b0c019ab-5240-45be-b9d8-44a321154168,1559589151,3VWC17AU4FM459913,Infiniti,J,1993
57ba47c6-7a5b-4d74-bb68-0468f40d2ca0,7ace628c-03b7-4d3e-b26b-42f73b45ab70,b0c019ab-5240-45be-b9d8-44a321154168,1536059373,WBADS43412G613978,Lexus,GS,1997
2d2ac14b-5fde-4dc8-a397-05c5a2d213d7,b8f37cbb-4ef4-44a8-9fc8-1efe19b2268e,2a8f9fc9-7086-426f-9020-5d885c84a7d0,1570803774,2G4GT5GX6F9766153,Dodge,Grand Caravan,1995
f92b19d7-c3a6-4465-b0b6-4b652801a2ba,56aacb11-ed6b-4c4e-95ca-fb44b4e98d11,0debc2c2-37d1-415d-833c-bc2cdd461371,1559539169,3N1BC1AP1AL404790,Saab,9-5,2002
58a6cde6-65b9-45c2-8c79-b12f4e064c41,215b6eb9-54bd-4f06-a004-0475bb9cbe6c,c4c5b432-491d-479e-8b35-b07415a18142,1580114584,2B3CK8CT1AH271594,Buick,Park Avenue,2000
282813e2-9e4e-43d5-8bd5-3653581b3244,cff5d2bb-fbd7-4bed-ae79-f35c8a9b3358,0debc2c2-37d1-415d-833c-bc2cdd461371,1502915625,WA1AV94L17D814587,Acura,TSX,2005
0c6cbb13-7dbd-49f2-b540-b8e09f5a181f,eda84256-85c9-413e-8957-f29037a266a1,68a5aa7b-0ec0-4f05-9583-9dfaa6ca9dd9,1541645998,WP0AA2A9XAS402642,Honda,Civic,1997
11b25a5e-d196-41a7-bfaf-114b83392c20,7701509d-aec5-46c8-96ce-cba6df68e4f6,b0c019ab-5240-45be-b9d8-44a321154168,1547254625,SCBLC47J68C703318,Lexus,LS,2009
a70f5f41-8d46-4b38-a0df-41e27f29ca54,982afbfb-7925-40ec-90b3-4c08f31134af,b0c019ab-5240-45be-b9d8-44a321154168,1542489606,1GYS4AEF7DR681320,Lincoln,Continental Mark VII,1992
58a6cde6-65b9-45c2-8c79-b12f4e064c41,bce266e0-2c8b-4107-8bb2-7abefa004850,2a8f9fc9-7086-426f-9020-5d885c84a7d0,1551893793,YV4940BL1D1912510,Pontiac,Vibe,2010
acf3c213-3486-48c6-8615-c1270f07790a,5843e978-8696-4b92-a050-1b5c3e2c87fd,7c3813e4-c583-4629-bdff-f3097c3b754e,1563646852,JM3TB2BA9B0220577,Volkswagen,Touareg,2004
315898b5-ec64-4905-a3ee-d5e0e796fa4a,b7404e46-d1bf-4f31-a317-2f624b33574a,2a8f9fc9-7086-426f-9020-5d885c84a7d0,1563052863,1G6AB5R38F0830973,Lincoln,MKZ,2010
da9a94c3-5fd4-4537-b673-983d386efdd3,3817e7f2-7069-42f9-bfe0-07f7f274c1d9,c4c5b432-491d-479e-8b35-b07415a18142,1534210572,5TFAW5F15EX963278,Ford,F150,2002
5e025596-f025-4a97-ad39-26d277d03636,c21df3d8-367d-4381-b084-267636a35f29,7c3813e4-c583-4629-bdff-f3097c3b754e,1505083798,3GYFK12289G513542,Volvo,S40,2011
9b86cbfa-099c-4946-9d01-c3ad68858045,50591f4a-92c5-4232-9a9f-712639892eb9,c4c5b432-491d-479e-8b35-b07415a18142,1529784813,1G6AR5S3XF0602379,Infiniti,G25,2012
5e025596-f025-4a97-ad39-26d277d03636,0ac5fae6-c0bf-42c2-888d-f354b9e53ac0,2a8f9fc9-7086-426f-9020-5d885c84a7d0,1561371614,3FA6P0LU0FR778849,Acura,RL,2005
68832e3a-5160-41f9-9c82-f0c5ebdd1a74,1e6156be-ef8f-4e33-bc11-5e0f002b4e2c,2a8f9fc9-7086-426f-9020-5d885c84a7d0,1562555830,SCBDP3ZAXBC080616,Toyota,Solara,2003
824e7021-4c06-4c68-8877-4e3f6131a80f,f3f1097b-57f1-429d-b431-9171a7bdf232,7c3813e4-c583-4629-bdff-f3097c3b754e,1566694034,WBAFR9C53CD520604,GMC,Canyon,2009
9b86cbfa-099c-4946-9d01-c3ad68858045,de8157ce-5248-477a-89b4-507f73965a35,b0c019ab-5240-45be-b9d8-44a321154168,1563293739,SALSF2D41AA783379,Plymouth,Prowler,2000
57ba47c6-7a5b-4d74-bb68-0468f40d2ca0,167770f7-0b13-4d79-8c15-a9143cc7ee44,0debc2c2-37d1-415d-833c-bc2cdd461371,1555552089,WBAUL7C55CV757229,Mitsubishi,3000GT,1998
58a6cde6-65b9-45c2-8c79-b12f4e064c41,f5ae7953-f0ae-4074-9ea6-77201d39ece8,7c3813e4-c583-4629-bdff-f3097c3b754e,1515809643,5NPET4AC5AH987745,Oldsmobile,Silhouette,2003
5e025596-f025-4a97-ad39-26d277d03636,722edb05-de50-4853-b3d7-9639ac3936e0,7c3813e4-c583-4629-bdff-f3097c3b754e,1537080732,SAJWA4DC6DM675905,Mercedes-Benz,SL-Class,1994
57ba47c6-7a5b-4d74-bb68-0468f40d2ca0,55f450d6-28a4-4150-b210-75ca3fd80d74,0debc2c2-37d1-415d-833c-bc2cdd461371,1502745974,WBABN33423P656932,Suzuki,XL-7,2007
68832e3a-5160-41f9-9c82-f0c5ebdd1a74,8819ddd4-44f9-4d17-a757-4974784ae2cd,0debc2c2-37d1-415d-833c-bc2cdd461371,1583098617,1GYEE637390218301,Toyota,Camry,1995
478a36e3-c9b5-4350-887c-b33f79e7ca5f,b80220e1-2754-40c2-89e5-b4a60f687a60,c4c5b432-491d-479e-8b35-b07415a18142,1577370560,KMHD35LH9FU834420,Infiniti,QX,2003
3db1f75d-cbc3-4cd1-9cb2-b33416b0408c,4f076550-2c12-481e-9f76-403f553f55f9,68a5aa7b-0ec0-4f05-9583-9dfaa6ca9dd9,1589513371,WAUJ2AFD8FN974154,Suzuki,Esteem,2000
282813e2-9e4e-43d5-8bd5-3653581b3244,cd214648-3f35-49df-98e5-d4433378563e,7c3813e4-c583-4629-bdff-f3097c3b754e,1526958604,3GYFNGEY1AS686170,Buick,Park Avenue,1991
c72ed947-68c6-49de-a6a2-272e8f7c60f1,18977f6a-c81d-424f-b32d-64ca8aa7d0a6,2a8f9fc9-7086-426f-9020-5d885c84a7d0,1522747267,WUARL48H94K101129,Geo,Prizm,1997
51613957-4785-4181-a92f-d2ee9458a4c8,db547a45-20b7-4ffe-8036-76e04ef141f5,b0c019ab-5240-45be-b9d8-44a321154168,1566962426,WAUWFAFH8EN749681,Ford,Tempo,1994
315898b5-ec64-4905-a3ee-d5e0e796fa4a,83005e3c-3d0b-47df-b6d6-a0e70fab39e6,68a5aa7b-0ec0-4f05-9583-9dfaa6ca9dd9,1581264933,WAUDF98E35A576314,Mazda,MX-6,1995
57ba47c6-7a5b-4d74-bb68-0468f40d2ca0,773eb561-3501-4846-92e1-0b70141d970a,b0c019ab-5240-45be-b9d8-44a321154168,1551925868,TRUWT28N641052249,Jaguar,XJ Series,1998
a6127bd4-f105-40cf-bd0f-44a6544f07f1,64b6ec6f-c911-4cae-80fa-f08a83135428,0debc2c2-37d1-415d-833c-bc2cdd461371,1556045512,WAUET48H45K264362,Toyota,Tacoma,2000
9a2446ac-a391-428c-9b58-f312f28f8cfc,3c015bd7-7afd-40fd-889f-583ab783e481,2a8f9fc9-7086-426f-9020-5d885c84a7d0,1521677944,WAUNF78P76A717221,Acura,Integra,1998
96f24433-87a7-4a7d-98bd-9035d266231b,f084850d-88d7-4ac2-ae33-e11021db5d0a,7c3813e4-c583-4629-bdff-f3097c3b754e,1548416522,1C6RD6JT4CS833016,Saab,9000,1993
824e7021-4c06-4c68-8877-4e3f6131a80f,f6a15c17-13e6-4cf3-adfc-f515ba3f6fe4,68a5aa7b-0ec0-4f05-9583-9dfaa6ca9dd9,1535421150,JTDBT4K36A1385154,Audi,RS6,2003
11b25a5e-d196-41a7-bfaf-114b83392c20,51eb3d92-ffae-4b13-96c1-173fef19d2d2,0debc2c2-37d1-415d-833c-bc2cdd461371,1528933384,1B3CB1HA7AD662146,Mazda,Millenia,1999
5e025596-f025-4a97-ad39-26d277d03636,e1c72b29-f2d7-4fd2-b7ad-e4c598e8a8ca,7c3813e4-c583-4629-bdff-f3097c3b754e,1574791667,JN8AZ1MU3EW227155,Buick,Coachbuilder,1992
41b9c791-06eb-4166-9bd3-d42102af72b2,2010db2c-8a7b-4028-85f5-350b5947bab0,68a5aa7b-0ec0-4f05-9583-9dfaa6ca9dd9,1529520219,WAUEFAFL4AN176241,BMW,3 Series,2010
57ba47c6-7a5b-4d74-bb68-0468f40d2ca0,93ca19aa-f324-4e98-bb35-8f7a322f2d61,7c3813e4-c583-4629-bdff-f3097c3b754e,1567541427,WBAUN7C59BV127884,Mazda,MX-5,2009
cc706d5d-0e17-4b07-9a50-ff2f8cd7f201,8293f7af-59ba-409f-827d-64a5fd41fe43,b0c019ab-5240-45be-b9d8-44a321154168,1539353489,WBAWB33539P716602,Porsche,Boxster,1998
824e7021-4c06-4c68-8877-4e3f6131a80f,2f22f776-2b3e-478b-85a5-7182f6d79d58,68a5aa7b-0ec0-4f05-9583-9dfaa6ca9dd9,1504293354,3N6CM0KN9EK498853,GMC,Sierra Hybrid,2006
58a6cde6-65b9-45c2-8c79-b12f4e064c41,a782f1ce-dbc5-4585-9394-becf15056bc6,2a8f9fc9-7086-426f-9020-5d885c84a7d0,1535901970,2FMDK3GC7BB806053,Lexus,ES,2006
da9a94c3-5fd4-4537-b673-983d386efdd3,39c443ba-12fc-47d1-82b9-ed7139093add,c4c5b432-491d-479e-8b35-b07415a18142,1576285349,YV1672MK8B2835083,Ford,Mustang,1986
51613957-4785-4181-a92f-d2ee9458a4c8,c5892059-3d6c-4f61-9770-5b7946244dc9,7c3813e4-c583-4629-bdff-f3097c3b754e,1549464901,WDCYC3HFXAX810324,Audi,A5,2009
9a2446ac-a391-428c-9b58-f312f28f8cfc,35550258-4d67-45a3-8ef0-9eced8e909a7,b0c019ab-5240-45be-b9d8-44a321154168,1569830646,WBSVA93588E217074,Ford,F-Series,1994
51613957-4785-4181-a92f-d2ee9458a4c8,d54c8928-c17d-4a6d-b26c-7d00d7e64842,68a5aa7b-0ec0-4f05-9583-9dfaa6ca9dd9,1548146294,JH4CW2H57CC278953,Volvo,940,1993
315898b5-ec64-4905-a3ee-d5e0e796fa4a,32aa0de2-2994-4af7-bc51-30d37f11a986,b0c019ab-5240-45be-b9d8-44a321154168,1522918048,1N6AF0LX6EN332222,BMW,550,2006
da2904ac-e176-44bb-908c-afeb41ca1f3d,56657c78-fb19-4384-bc65-511b2c0338be,b0c019ab-5240-45be-b9d8-44a321154168,1591738521,JM1CW2BL5D0975386,Ford,Expedition,2011
29aa9ef9-85fb-4fb4-a74a-205732f8ded0,b124ced6-45f3-41bf-8ad7-395b6fd02c3e,7c3813e4-c583-4629-bdff-f3097c3b754e,1504157755,2FMGK5B85DB296039,Chrysler,LHS,1994
